procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 EDT
 2  0      0 31595372      0 550864    0    0     1     8   21   13  0  0 100  0  0 2024-03-19 21:34:47
 1  0      0 32216956      0 119808    0    0 30761    17 2245 1968  2 10 87  0  0 2024-03-19 21:34:48
 1  0      0 32160948      0 136372    0    0  7029     0 2268 2465  2 10 88  0  0 2024-03-19 21:34:49
 1  0      0 32092428      0 162488    0    0  5900     0 1987 2423  1 11 88  0  0 2024-03-19 21:34:50
 0  0      0 32040460      0 188152    0    0  5852  8320 2236 2720  2 11 88  0  0 2024-03-19 21:34:51
 1  0      0 31971912      0 213792    0    0  6116     0 1983 2399  1 11 88  0  0 2024-03-19 21:34:52
 1  0      0 31921728      0 239264    0    0  6413  8356 2332 2966  2 11 87  0  0 2024-03-19 21:34:53
 1  0      0 31870308      0 265044    0    0  5936     0 2053 2527  1 10 88  0  0 2024-03-19 21:34:54
 1  0      0 31816632      0 291000    0    0  5060  8320 2226 2632  2 11 87  0  0 2024-03-19 21:34:55
 1  0      0 31768412      0 316888    0    0  6224     0 2024 2428  2 10 88  0  0 2024-03-19 21:34:56
 1  0      0 31701576      0 342620    0    0  5208     0 1886 2062  2 11 88  0  0 2024-03-19 21:34:57
 1  0      0 31662292      0 356384    0    0  5285  8329 2106 1964  6  7 87  0  0 2024-03-19 21:34:58
 0  0      0 31661816      0 356104    0    0   752     0  247  254  1  0 99  0  0 2024-03-19 21:34:59
 1  0      0 31678960      0 356704    0    0    20     0 1647  558  5  7 88  0  0 2024-03-19 21:35:00
 0  0      0 31699436      0 356732    0    0    84     0  318  191  1  1 98  0  0 2024-03-19 21:35:01
 0  0      0 31699436      0 356732    0    0     0     0   75  101  0  0 100  0  0 2024-03-19 21:35:02
 0  0      0 31699436      0 356732    0    0     0    24   91  110  0  0 100  0  0 2024-03-19 21:35:03
 0  0      0 31699436      0 356732    0    0     0     0   81   94  0  0 100  0  0 2024-03-19 21:35:04
 0  0      0 31699436      0 356732    0    0     0     0   83  103  0  0 100  0  0 2024-03-19 21:35:05
 2  0      0 31680532      0 356772    0    0    64     0 2902 2626  1 11 89  0  0 2024-03-19 21:35:06
 4  0      0 31677608      0 356764    0    0     0 12360 2084 2179  0 14 86  0  0 2024-03-19 21:35:07
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 EDT
 0  0      0 31706024      0 356764    0    0    16  4713 1771 1444  1 12 88  0  0 2024-03-19 21:35:08
 0  0      0 31705776      0 356748    0    0     0    33  116  178  0  0 100  0  0 2024-03-19 21:35:09
 0  0      0 31840204      0 356748    0    0     0  9721  513  648  0  1 99  0  0 2024-03-19 21:35:10
 0  0      0 31914132      0 339520    0    0     0     0  267  262  0  2 99  0  0 2024-03-19 21:35:11
 0  0      0 31914132      0 339380    0    0     0     0  115  178  0  0 100  0  0 2024-03-19 21:35:12
 1  0      0 31912372      0 339452    0    0    76     0  301  234  1  1 99  0  0 2024-03-19 21:35:13
 1  0      0 32201392      0 121800    0    0 30796   396 2200 1964  2 10 87  0  0 2024-03-19 21:35:14
 3  0      0 32109492      0 152028    0    0  7767     0 4416 5202  3 19 78  0  0 2024-03-19 21:35:15
 2  0      0 32014860      0 188252    0    0  5664  8320 4703 5438  3 21 76  0  0 2024-03-19 21:35:16
 2  0      0 31938236      0 224300    0    0  5276  8320 4495 4915  2 22 76  0  0 2024-03-19 21:35:17
 2  0      0 31859964      0 260468    0    0  5380  8324 4535 5045  3 21 76  0  0 2024-03-19 21:35:18
 2  0      0 31774064      0 296200    0    0  5960    32 4238 4761  3 21 76  0  0 2024-03-19 21:35:19
 2  0      0 31706460      0 332168    0    0  5432  9952 4691 5317  3 22 76  0  0 2024-03-19 21:35:20
 0  0      0 31636004      0 368576    0    0  5048  8352 4571 5078  3 21 76  0  0 2024-03-19 21:35:21
 2  0      0 31574728      0 404096    0    0  5088 32440 4623 4881  3 22 75  0  0 2024-03-19 21:35:22
 2  0      0 31490776      0 441432    0    0  5356 10456 4330 4820  3 22 75  0  0 2024-03-19 21:35:23
 1  0      0 31412916      0 477048    0    0  4700 34719 4663 4819  3 22 74  0  0 2024-03-19 21:35:24
 1  0      0 31414620      0 481624    0    0  4222    17 1685 1066  7  4 89  0  0 2024-03-19 21:35:25
 0  0      0 31418296      0 482712    0    0   108     0 1477  504  5  7 88  0  0 2024-03-19 21:35:26
 0  0      0 31417792      0 482720    0    0     0     0  100  147  0  0 100  0  0 2024-03-19 21:35:27
 0  0      0 31417792      0 482720    0    0     0     4   91  138  0  0 100  0  0 2024-03-19 21:35:28
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 EDT
 0  0      0 31417792      0 482720    0    0     0    12   93  136  0  0 100  0  0 2024-03-19 21:35:29
 0  0      0 31417792      0 482720    0    0     0     4  119  145  0  0 100  0  0 2024-03-19 21:35:30
 3  0      0 31417052      0 482720    0    0    64     0  465  676  0  1 99  0  0 2024-03-19 21:35:31
 4  0      0 31388476      0 482716    0    0     0     0 11589 18589  1 23 76  0  0 2024-03-19 21:35:32
 4  0      0 31427916      0 482264    0    0     0 55990 11876 18882  1 25 74  0  0 2024-03-19 21:35:33
 2  0      0 31441080      0 481688    0    0     0  8988 9744 15157  1 22 76  0  0 2024-03-19 21:35:34
 2  0      0 31411592      0 481388    0    0     0     0 9842 14854  1 23 76  0  0 2024-03-19 21:35:35
 2  0      0 31522472      0 479352    0    0     0 33586 12207 20943  1 25 74  0  0 2024-03-19 21:35:36
 0  0      0 31626264      0 432692    0    0     0     0 4997 8232  1 14 85  0  0 2024-03-19 21:35:37
 0  0      0 31626264      0 432304    0    0     0     0   98  147  0  0 100  0  0 2024-03-19 21:35:38
 0  0      0 31626264      0 432304    0    0     0   265  110  174  0  0 100  0  0 2024-03-19 21:35:39
 0  0      0 31784856      0 432096    0    0     0  5365  339  483  0  1 99  0  0 2024-03-19 21:35:40
 0  0      0 31784856      0 432096    0    0     0     0   98  154  0  0 100  0  0 2024-03-19 21:35:41
 1  0      0 32168120      0 152936    0    0    76   318 1150  722  1  7 93  0  0 2024-03-19 21:35:42
 4  0      0 32154032      0 133644    0    0 34934     0 4657 5540  4 16 79  0  0 2024-03-19 21:35:43
 2  0      0 31977328      0 192772    0    0  5360  8320 11065 14678  5 41 53  0  0 2024-03-19 21:35:44
 1  0      0 31856864      0 252268    0    0  5536 16800 11123 14315  5 42 53  0  0 2024-03-19 21:35:45
 2  0      0 31723160      0 311804    0    0  4764 16736 10806 13496  5 43 52  0  0 2024-03-19 21:35:46
 4  0      0 31612544      0 370736    0    0  5504 34782 11734 14947  5 43 52  0  0 2024-03-19 21:35:47
 1  0      0 31478300      0 430208    0    0  5784 42190 12026 15511  5 43 52  0  0 2024-03-19 21:35:48
 4  0      0 31344300      0 488376    0    0  5104 42326 13504 18812  5 44 51  0  0 2024-03-19 21:35:49
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 EDT
 5  0      0 31206224      0 548676    0    0  4908  8352 13278 19287  5 42 52  0  0 2024-03-19 21:35:50
 4  0      0 31094872      0 608236    0    0  5092 42097 12023 15529  5 43 52  0  0 2024-03-19 21:35:51
 6  0      0 30964964      0 666636    0    0  4716 41134 11628 14587  5 43 52  0  0 2024-03-19 21:35:52
 4  0      0 30839988      0 724528    0    0  4740 35471 12480 16653  5 43 52  0  0 2024-03-19 21:35:53
 0  0      0 30803252      0 731584    0    0  4201     0 1592 1367  6  4 90  0  0 2024-03-19 21:35:54
 1  0      0 30814580      0 731600    0    0    20     0  942  387  3  4 94  0  0 2024-03-19 21:35:55
 0  0      0 30845860      0 733532    0    0   132    21 1136  480  4  4 92  0  0 2024-03-19 21:35:56
