procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 EDT
 0  1      0 30340880      0 1566168    0    0    23    17    6    8  0  1 99  0  0 2024-03-18 19:21:46
 1  0      0 30336884      0 1568400    0    0  2068     0 3175 3030  5  2 93  0  0 2024-03-18 19:21:47
 2  0      0 30856292      0 1126072    0    0    72  1805 3113 2323  2  9 88  0  0 2024-03-18 19:21:48
 0  0      0 31269188      0 878468    0    0 23316    36 3591 3390  5  8 86  0  0 2024-03-18 19:21:49
 1  1      0 31251368      0 880608    0    0  4160     0 3000 3211  4  7 90  0  0 2024-03-18 19:21:50
 3  0      0 31235036      0 884880    0    0  4556   261 7837 6789 10  6 84  0  0 2024-03-18 19:21:51
 1  0      0 31229116      0 887572    0    0  2470   473 9790 8783 12  7 81  0  0 2024-03-18 19:21:52
 1  0      0 31221896      0 889876    0    0  2618   132 8594 6943 11  7 82  0  0 2024-03-18 19:21:53
 1  0      0 31215496      0 892720    0    0  2308    70 8544 7262 11  6 83  0  0 2024-03-18 19:21:54
 1  0      0 31211076      0 896280    0    0  3124    74 7229 5822 11  6 83  0  0 2024-03-18 19:21:55
 1  0      0 31205384      0 899372    0    0  3124   114 8467 7329 12  7 82  0  0 2024-03-18 19:21:56
 1  0      0 31205604      0 902640    0    0  3032  1142 8925 8332 11  7 82  0  0 2024-03-18 19:21:57
 1  0      0 31193592      0 905928    0    0  3120    77 7212 6069 11  5 83  0  0 2024-03-18 19:21:58
 1  0      0 31189680      0 909612    0    0  2888   107 8574 7098 12  7 81  0  0 2024-03-18 19:21:59
 2  0      0 31186532      0 912000    0    0  2136   108 8351 7020 11  6 83  0  0 2024-03-18 19:22:00
 1  0      0 31180800      0 916116    0    0  3936   104 8580 8313 12  6 82  0  0 2024-03-18 19:22:01
 1  0      0 31178876      0 918404    0    0  1968   111 8782 7653 12  6 82  0  0 2024-03-18 19:22:02
 1  0      0 31177020      0 920116    0    0  1280   107 9077 8253 12  6 82  0  0 2024-03-18 19:22:03
 2  0      0 31175344      0 922632    0    0  2236   112 8887 8993 12  7 81  0  0 2024-03-18 19:22:04
 1  0      0 31173432      0 924388    0    0  1416   102 9079 7628 11  7 82  0  0 2024-03-18 19:22:05
 2  0      0 31167012      0 927064    0    0  2504   106 9484 7353 12  7 81  0  0 2024-03-18 19:22:06
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 EDT
 2  0      0 31160844      0 931456    0    0  3508   110 9365 7642 11  7 81  0  0 2024-03-18 19:22:07
 1  0      0 31150276      0 934768    0    0  3317  2190 8297 7016 11  6 83  0  0 2024-03-18 19:22:08
 1  0      0 31148304      0 936324    0    0  1288   107 9350 8760 12  7 80  0  0 2024-03-18 19:22:09
 1  0      0 31147132      0 938420    0    0  1164   145 9966 9247 12  7 81  0  0 2024-03-18 19:22:10
 1  0      0 31144188      0 940532    0    0  1881   568 11721 12894 11 10 79  0  0 2024-03-18 19:22:11
 1  0      0 31142784      0 942304    0    0  1248   144 11069 11405 14 10 76  0  0 2024-03-18 19:22:12
 2  0      0 31136008      0 944052    0    0  1396   118 8786 8118 12  8 81  0  0 2024-03-18 19:22:13
 2  0      0 31113436      0 953724    0    0   788   151 7882 7431 12  8 80  0  0 2024-03-18 19:22:14
 2  0      0 31121108      0 954500    0    0   620   142 8710 6598 11  7 82  0  0 2024-03-18 19:22:15
 3  0      0 31116468      0 956756    0    0  2068   214 10717 11108 13 10 76  0  0 2024-03-18 19:22:16
 1  0      0 31111496      0 962148    0    0  5088   267 11813 12889 14 10 76  1  0 2024-03-18 19:22:17
 1  0      0 31108624      0 964816    0    0  2700  1760 13343 15795 14 11 75  1  0 2024-03-18 19:22:18
 1  0      0 31103596      0 969932    0    0  4544   268 13692 14635 14 11 75  1  0 2024-03-18 19:22:19
 2  0      0 31090088      0 983552    0    0  4664   614 13906 17300 13 11 75  1  0 2024-03-18 19:22:20
 3  0      0 31086052      0 987752    0    0  3516   507 13786 17612 14 13 72  1  0 2024-03-18 19:22:21
 1  0      0 31092496      0 992240    0    0  3816  2356 13959 16752 14 12 74  1  0 2024-03-18 19:22:22
 1  0      0 31088376      0 995576    0    0  2744   480 16359 21117 13 14 72  1  0 2024-03-18 19:22:23
 2  0      0 31069240      0 1010236    0    0 14172   460 15746 21839 12 12 75  1  0 2024-03-18 19:22:24
 1  0      0 31044392      0 1031068    0    0 19780   380 15965 21096 12 11 77  1  0 2024-03-18 19:22:25
 2  0      0 31033292      0 1039080    0    0  6912   417 14927 18823 12 10 78  1  0 2024-03-18 19:22:26
 2  0      0 31027080      0 1042516    0    0  3184   284 12899 15897 11  9 79  1  0 2024-03-18 19:22:27
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 EDT
 2  0      0 31032348      0 1046996    0    0  3920   326 13940 16980 12  9 78  1  0 2024-03-18 19:22:28
 1  0      0 31020404      0 1052508    0    0  4648   248 13841 17123 12  9 78  1  0 2024-03-18 19:22:29
 1  0      0 31014572      0 1056092    0    0  2628   285 14208 17187 11 10 78  1  0 2024-03-18 19:22:30
 4  0      0 31007976      0 1060716    0    0  2420   318 14653 17959 11 10 78  1  0 2024-03-18 19:22:31
 3  0      0 31000988      0 1064104    0    0  2544   281 14312 17960 11 10 78  1  0 2024-03-18 19:22:32
 2  0      0 30996644      0 1067108    0    0  2296   285 14796 18770 11 10 78  1  0 2024-03-18 19:22:33
 2  0      0 30998132      0 1071408    0    0  3120  2268 13453 19826 12  9 79  1  0 2024-03-18 19:22:34
 3  0      0 30993492      0 1074724    0    0  3484   249 13048 18065 12  9 79  1  0 2024-03-18 19:22:35
 2  0      0 30984696      0 1079880    0    0  3808   257 14342 20408 12  9 78  1  0 2024-03-18 19:22:36
 3  0      0 30984976      0 1084228    0    0  3308   321 14029 16960 12 10 78  1  0 2024-03-18 19:22:37
 2  0      0 30975536      0 1087476    0    0  2196   423 14902 18907 12 10 77  1  0 2024-03-18 19:22:38
 1  0      0 30964376      0 1092192    0    0  4196   286 13698 16579 11 10 78  1  0 2024-03-18 19:22:39
 1  0      0 30952956      0 1096676    0    0  3472   390 15056 18837 11 10 78  1  0 2024-03-18 19:22:40
 2  0      0 30947408      0 1100620    0    0  3012   311 14205 17107 11 10 78  1  0 2024-03-18 19:22:41
 2  0      0 30941364      0 1104000    0    0  2088   723 14414 18827 12 11 77  1  0 2024-03-18 19:22:42
 1  0      0 30935472      0 1107948    0    0  3252   357 11804 14977 11  8 80  1  0 2024-03-18 19:22:43
 2  0      0 30921508      0 1114980    0    0  6288   412 14984 18813 11 10 78  1  0 2024-03-18 19:22:44
 2  0      0 30916144      0 1118392    0    0  2636   290 13122 16376 11  9 79  1  0 2024-03-18 19:22:45
 4  0      0 30910332      0 1122336    0    0  2788   434 13284 16439 13 11 75  1  0 2024-03-18 19:22:46
 2  0      0 30931540      0 1093440    0    0  2612   681 16959 21326 15 15 69  1  0 2024-03-18 19:22:47
 3  0      0 30924736      0 1099788    0    0  5164   337 14363 17170 13 11 75  1  0 2024-03-18 19:22:48
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 EDT
 1  0      0 30920384      0 1103424    0    0  3496   381 13127 14518 14 11 75  1  0 2024-03-18 19:22:49
 1  0      0 30914260      0 1108172    0    0  3272   972 13573 16470 14 11 74  1  0 2024-03-18 19:22:50
 2  0      0 30901800      0 1124416    0    0  7144   288 13646 15461 13 10 76  1  0 2024-03-18 19:22:51
 3  0      0 30886236      0 1135396    0    0 10640  8246 13460 16584 14 10 75  1  0 2024-03-18 19:22:52
 1  1      0 30886468      0 1143608    0    0  6884   248 12628 14946 13 10 77  1  0 2024-03-18 19:22:53
