procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 EDT
 1  0      0 30753092      0 1285180    0    0    23    12   18   29  0  0 99  0  0 2024-03-18 19:13:16
 1  0      0 31413508      0 816328    0    0 17941   311 2596 2305  1 14 85  0  0 2024-03-18 19:13:17
 7  0      0 31361916      0 840692    0    0  3911  2442 12871 50839 11 18 71  0  0 2024-03-18 19:13:18
 4  0      0 31298372      0 866940    0    0  5033  9709 46148 94676 17 33 50  0  0 2024-03-18 19:13:19
 1  0      0 31229856      0 891000    0    0  3756  8904 43752 93067  9 26 65  0  0 2024-03-18 19:13:20
 3  0      0 31167884      0 913408    0    0  3772  8318 42436 89639  9 25 66  0  0 2024-03-18 19:13:21
 1  0      0 31119548      0 936888    0    0  3513 23513 42232 89627  8 25 66  0  0 2024-03-18 19:13:22
 4  0      0 31054280      0 960812    0    0  3776  8814 45106 96452  9 27 64  0  0 2024-03-18 19:13:23
 6  0      0 30994368      0 977192    0    0  3684  8850 44766 95646  9 27 64  0  0 2024-03-18 19:13:24
 1  0      0 30934172      0 992948    0    0  4476  8687 44705 95618 10 26 64  0  0 2024-03-18 19:13:25
 3  0      0 30909120      0 1008212    0    0  3840 17139 43363 91642  9 28 63  0  0 2024-03-18 19:13:26
 3  0      0 30877872      0 1023948    0    0  3672  8996 46243 98336 10 25 65  0  0 2024-03-18 19:13:27
 3  0      0 30828160      0 1039944    0    0  3336  8817 47735 101999 10 25 64  1  0 2024-03-18 19:13:28
 4  0      0 30790772      0 1054628    0    0  3032 16856 46435 98378  9 27 64  0  0 2024-03-18 19:13:29
 3  0      0 30758024      0 1070900    0    0  4072  9043 49733 104626 10 26 64  0  0 2024-03-18 19:13:30
 2  0      0 30714200      0 1086912    0    0  3504  9002 42408 88158  9 25 65  1  0 2024-03-18 19:13:31
 3  0      0 30656056      0 1102644    0    0  3236  8798 40776 83033  9 26 65  0  0 2024-03-18 19:13:32
 0  0      0 30616616      0 1109064    0    0  4829   340 2920 3766  7  4 89  0  0 2024-03-18 19:13:33
 1  0      0 30660920      0 1112264    0    0  1772    38 1489  716  4  6 90  0  0 2024-03-18 19:13:34
 0  0      0 30660432      0 1112440    0    0   196     0  832  384  3  3 94  0  0 2024-03-18 19:13:35
 0  0      0 30660432      0 1112440    0    0     0     0   58   85  0  0 100  0  0 2024-03-18 19:13:36
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 EDT
 0  0      0 30660432      0 1112440    0    0     0     0   64  103  0  0 100  0  0 2024-03-18 19:13:37
 0  0      0 30660432      0 1112440    0    0     0     0   72   86  0  0 100  0  0 2024-03-18 19:13:38
 1  0      0 30660432      0 1112440    0    0     0     0   55   81  0  0 100  0  0 2024-03-18 19:13:39
 4  0      0 30631420      0 1115980    0    0   156  4165 29539 60621  6 15 79  0  0 2024-03-18 19:13:40
 4  0      0 30606848      0 1116348    0    0     0  9948 67037 141003 11 28 60  0  0 2024-03-18 19:13:41
 4  0      0 30606848      0 1116952    0    0     0 10299 69055 147163 11 26 63  0  0 2024-03-18 19:13:42
 3  0      0 30613548      0 1118040    0    0     0 24247 56858 119915 11 30 60  0  0 2024-03-18 19:13:43
 2  0      0 30609172      0 1118612    0    0     0 10477 68122 144463 11 28 61  0  0 2024-03-18 19:13:44
 1  0      0 30590240      0 1117920    0    0     0  9446 68618 145739 11 26 63  0  0 2024-03-18 19:13:45
 3  0      0 30598520      0 1118540    0    0     0 10168 66866 143254 12 25 64  0  0 2024-03-18 19:13:46
 5  0      0 30600996      0 1097308    0    0    16  9047 45322 110358 18 32 49  0  0 2024-03-18 19:13:47
 4  0      0 30664480      0 1099468    0    0     0 45244 81324 170723 15 37 47  0  0 2024-03-18 19:13:48
 5  0      0 30643180      0 1099496    0    0     0  9745 66396 141216 10 26 63  0  0 2024-03-18 19:13:49
 1  0      0 30691036      0 1090264    0    0     0 10608 58221 126194 12 29 59  0  0 2024-03-18 19:13:50
 5  0      0 30676932      0 1083960    0    0     0 11899 64486 140753 12 30 58  0  0 2024-03-18 19:13:51
 2  0      0 30662488      0 1083996    0    0     0 15242 61596 131690 11 28 60  0  0 2024-03-18 19:13:52
 0  0      0 30665808      0 1084232    0    0     0 11979 61285 133716 12 26 63  0  0 2024-03-18 19:13:53
 0  0      0 30677120      0 1085208    0    0     0   814 5641 12470  1  2 97  0  0 2024-03-18 19:13:54
 0  0      0 30677120      0 1085208    0    0     0     0  130  167  0  0 100  0  0 2024-03-18 19:13:55
 0  0      0 30677120      0 1085208    0    0     0     0  100  155  0  0 100  0  0 2024-03-18 19:13:56
