procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 EDT
 2  0      0 31810812      0 400500    0    0     1    11   29    6  0  0 100  0  0 2024-03-18 19:28:22
 1  0      0 32214032      0 120424    0    0 30814    99 2315 1895  2 10 87  0  0 2024-03-18 19:28:23
 1  0      0 32161812      0 139088    0    0  7229     0 2395 2619  2 10 88  0  0 2024-03-18 19:28:24
 1  0      0 32099868      0 162560    0    0  5460     0 1933 2217  1 11 88  0  0 2024-03-18 19:28:25
 1  0      0 32053268      0 184640    0    0  5000  8320 2190 2490  2 11 87  0  0 2024-03-18 19:28:26
 1  0      0 31988696      0 208900    0    0  5672     0 1953 2249  2 10 88  0  0 2024-03-18 19:28:27
 1  0      0 31926904      0 232048    0    0  5872     8 2006 2344  2 10 88  0  0 2024-03-18 19:28:28
 1  0      0 31900272      0 252832    0    0  4908  8320 2207 2510  2 11 87  0  0 2024-03-18 19:28:29
 1  0      0 31846928      0 275668    0    0  4956     0 1927 2167  2 11 88  0  0 2024-03-18 19:28:30
 1  0      0 31809044      0 297344    0    0  4148  8320 2130 2323  2 11 87  0  0 2024-03-18 19:28:31
 1  0      0 31767136      0 319060    0    0  5464     0 1909 2145  2 11 88  0  0 2024-03-18 19:28:32
 1  0      0 31700212      0 344540    0    0  5080     0 1901 2113  2 10 88  0  0 2024-03-18 19:28:33
 1  0      0 31667280      0 356128    0    0  5516  8640 2059 1764  6  7 87  0  0 2024-03-18 19:28:34
 1  0      0 31704256      0 355944    0    0   180     0  454  273  1  1 99  0  0 2024-03-18 19:28:35
 0  0      0 31703236      0 356920    0    0   364     0 1564  564  6  7 88  0  0 2024-03-18 19:28:36
 0  0      0 31702984      0 356928    0    0     0     0   81  105  0  0 100  0  0 2024-03-18 19:28:37
 0  0      0 31702984      0 356928    0    0     0     0   80  113  0  0 100  0  0 2024-03-18 19:28:38
 0  0      0 31702984      0 356928    0    0     0     8   90  107  0  0 100  0  0 2024-03-18 19:28:39
 0  0      0 31702984      0 356928    0    0     0     0   70   96  0  0 100  0  0 2024-03-18 19:28:40
 1  0      0 31702984      0 356928    0    0    64     0  208  148  0  0 99  0  0 2024-03-18 19:28:41
 1  0      0 31666444      0 356932    0    0     0     0 1884 1681  1 12 87  0  0 2024-03-18 19:28:42
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 EDT
 1  0      0 31730768      0 356940    0    0     0 17175 2238 2604  1 14 85  0  0 2024-03-18 19:28:43
 0  0      0 31713384      0 356940    0    0    16     0  756  582  0  5 95  0  0 2024-03-18 19:28:44
 0  0      0 31713384      0 356940    0    0     0     0   85  122  0  0 100  0  0 2024-03-18 19:28:45
 0  0      0 31712884      0 356924    0    0     0     0   84  136  0  0 100  0  0 2024-03-18 19:28:46
