procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 EDT
 1  0      0 31639564     20 465472    0    0     1     3   14   26  0  0 100  0  0 2024-03-18 19:20:58
 1  0      0 32224972      0 119800    0    0 30822   603 2276 2062  2 11 87  0  0 2024-03-18 19:20:59
 1  1      0 32173372      0 137872    0    0  5726  7022 8419 35314  5 13 81  0  0 2024-03-18 19:21:00
 2  0      0 32121348      0 162900    0    0  3644  9590 13016 27092  5 15 80  1  0 2024-03-18 19:21:01
 2  0      0 32068124      0 187712    0    0  4136  9101 12167 26332  5 15 80  0  0 2024-03-18 19:21:02
 1  0      0 32032172      0 212144    0    0  3808 17366 12619 26759  4 15 80  1  0 2024-03-18 19:21:03
 2  0      0 31978500      0 237244    0    0  3456  9583 13046 27044  5 15 80  0  0 2024-03-18 19:21:04
 2  0      0 31929812      0 254772    0    0  4340  9215 12581 26525  4 15 80  1  0 2024-03-18 19:21:05
 1  0      0 31901396      0 270236    0    0  4312 17187 12500 26068  5 15 79  0  0 2024-03-18 19:21:06
 1  0      0 31864560      0 290956    0    0  4632 10916 15328 31778  5 15 79  1  0 2024-03-18 19:21:07
 2  0      0 31814668      0 311904    0    0  4368 10981 15417 32003  5 15 79  1  0 2024-03-18 19:21:08
 2  0      0 31780732      0 333044    0    0  3700 19609 15445 31703  5 15 79  1  0 2024-03-18 19:21:09
 2  0      0 31743468      0 345448    0    0  5004 10948 15334 31606  5 16 79  1  0 2024-03-18 19:21:10
 1  0      0 31692732      0 366252    0    0  4012 10800 14872 32551  5 15 79  1  0 2024-03-18 19:21:11
 1  0      0 31662080      0 386156    0    0  4096 18752 15079 30977  5 16 79  1  0 2024-03-18 19:21:12
 0  0      0 31624588      0 392240    0    0  4336   622 2181 2687  7  4 90  0  0 2024-03-18 19:21:13
 1  0      0 31650640      0 393632    0    0   544    55 1682  680  6  6 88  0  0 2024-03-18 19:21:14
 0  0      0 31666296      0 393676    0    0    84     0  528  209  1  2 96  0  0 2024-03-18 19:21:15
 0  0      0 31666296      0 393676    0    0     0     0   78   93  0  0 100  0  0 2024-03-18 19:21:16
